2025-06-14 00:58:26 | INFO     | __main__:main:50 - 🚀 启动Dify微信生态接入服务
2025-06-14 00:58:26 | INFO     | src.app:create_app:109 - FastAPI应用创建成功
2025-06-14 00:58:26 | INFO     | __main__:main:61 - 📡 服务启动在 http://0.0.0.0:8000
2025-06-14 00:59:54 | INFO     | __main__:main:50 - 🚀 启动Dify微信生态接入服务
2025-06-14 00:59:54 | INFO     | src.app:create_app:109 - FastAPI应用创建成功
2025-06-14 00:59:54 | INFO     | __main__:main:61 - 📡 服务启动在 http://0.0.0.0:8000
2025-06-14 09:40:38 | INFO     | __main__:main:50 - 🚀 启动Dify微信生态接入服务
2025-06-14 09:40:38 | INFO     | src.app:create_app:109 - FastAPI应用创建成功
2025-06-14 09:40:38 | INFO     | __main__:main:61 - 📡 服务启动在 http://0.0.0.0:8000
2025-06-14 09:41:02 | ERROR    | src.wechat_official:handle_webhook:147 - 微信服务器验证失败
2025-06-14 09:41:02 | ERROR    | src.wechat_official:handle_webhook:176 - Webhook处理异常: 403: 验证失败
2025-06-14 09:41:02 | ERROR    | src.app:wechat_official_webhook:65 - 微信公众号Webhook处理失败: 500: 内部服务器错误
2025-06-14 09:41:27 | INFO     | __main__:main:50 - 🚀 启动Dify微信生态接入服务
2025-06-14 09:41:27 | INFO     | src.app:create_app:109 - FastAPI应用创建成功
2025-06-14 09:41:27 | INFO     | __main__:main:61 - 📡 服务启动在 http://0.0.0.0:8000
2025-06-14 09:42:52 | INFO     | src.wechat_official:handle_webhook:144 - 微信服务器验证成功
2025-06-14 09:43:12 | INFO     | src.wechat_official:handle_webhook:144 - 微信服务器验证成功
2025-06-14 09:45:21 | INFO     | __main__:main:50 - 🚀 启动Dify微信生态接入服务
2025-06-14 09:45:21 | INFO     | src.app:create_app:109 - FastAPI应用创建成功
2025-06-14 09:45:21 | INFO     | __main__:main:61 - 📡 服务启动在 http://0.0.0.0:8000
2025-06-14 09:45:38 | INFO     | src.wechat_official:handle_webhook:144 - 微信服务器验证成功
2025-06-14 09:47:19 | INFO     | __main__:main:50 - 🚀 启动Dify微信生态接入服务
2025-06-14 09:47:19 | INFO     | src.app:create_app:109 - FastAPI应用创建成功
2025-06-14 09:47:19 | INFO     | __main__:main:61 - 📡 服务启动在 http://0.0.0.0:8000
2025-06-14 09:47:36 | INFO     | src.wechat_official:handle_webhook:144 - 微信服务器验证成功
2025-06-14 09:47:55 | INFO     | src.wechat_official:handle_webhook:144 - 微信服务器验证成功
2025-06-14 09:50:30 | INFO     | src.wechat_official:handle_webhook:169 - 收到微信消息:  from 
2025-06-14 09:50:38 | INFO     | src.wechat_official:handle_webhook:169 - 收到微信消息:  from 
2025-06-14 09:53:43 | INFO     | __main__:main:50 - 🚀 启动Dify微信生态接入服务
2025-06-14 09:53:43 | INFO     | src.app:create_app:109 - FastAPI应用创建成功
2025-06-14 09:53:43 | INFO     | __main__:main:61 - 📡 服务启动在 http://0.0.0.0:8000
2025-06-14 09:54:55 | INFO     | src.wechat_official:handle_webhook:176 - 收到POST请求，加密类型: aes
2025-06-14 09:54:55 | INFO     | src.wechat_official:handle_webhook:186 - 消息解密成功
2025-06-14 09:54:55 | INFO     | src.wechat_official:handle_webhook:208 - 收到微信消息: text from oeMLOwjcEuAyyiUhf4QJR8Nr-AmU
2025-06-14 09:54:55 | INFO     | src.wechat_official:handle_message:83 - 处理消息类型: text, 来自: oeMLOwjcEuAyyiUhf4QJR8Nr-AmU
2025-06-14 09:54:55 | INFO     | src.wechat_official:handle_message:99 - 收到消息内容: 你好
2025-06-14 09:54:59 | INFO     | src.wechat_official:handle_webhook:176 - 收到POST请求，加密类型: aes
2025-06-14 09:54:59 | INFO     | src.wechat_official:handle_webhook:186 - 消息解密成功
2025-06-14 09:54:59 | INFO     | src.wechat_official:handle_webhook:208 - 收到微信消息: text from oeMLOwjcEuAyyiUhf4QJR8Nr-AmU
2025-06-14 09:54:59 | INFO     | src.wechat_official:handle_message:83 - 处理消息类型: text, 来自: oeMLOwjcEuAyyiUhf4QJR8Nr-AmU
2025-06-14 09:54:59 | INFO     | src.wechat_official:handle_message:99 - 收到消息内容: 你好
2025-06-14 09:55:03 | INFO     | src.dify_client:chat_completion:69 - Dify API调用成功，用户: oeMLOwjcEuAyyiUhf4QJR8Nr-AmU
2025-06-14 09:55:03 | INFO     | src.wechat_official:handle_message:135 - 公众号消息处理完成，用户: oeMLOwjcEuAyyiUhf4QJR8Nr-AmU, 回复: 你好！很高兴认识你。作为一名AI规划师，我对技术充满热情，尤其是在AI领域。如果你对AI、数字化转型...
2025-06-14 09:55:03 | INFO     | src.wechat_official:handle_webhook:217 - 回复消息加密成功
2025-06-14 09:55:04 | INFO     | src.wechat_official:handle_webhook:176 - 收到POST请求，加密类型: aes
2025-06-14 09:55:04 | INFO     | src.wechat_official:handle_webhook:186 - 消息解密成功
2025-06-14 09:55:04 | INFO     | src.wechat_official:handle_webhook:208 - 收到微信消息: text from oeMLOwjcEuAyyiUhf4QJR8Nr-AmU
2025-06-14 09:55:04 | INFO     | src.wechat_official:handle_message:83 - 处理消息类型: text, 来自: oeMLOwjcEuAyyiUhf4QJR8Nr-AmU
2025-06-14 09:55:04 | INFO     | src.wechat_official:handle_message:99 - 收到消息内容: 你好
